Timestamp,Event
2026-05-30 08:02:19 AM,Vehicle Detected
2026-05-30 08:03:56 AM,Vehicle Detected
2026-05-30 08:05:00 AM,Vehicle Detected
2026-05-30 08:05:11 AM,Vehicle Detected
2026-05-30 08:05:29 AM,Vehicle Detected
2026-05-30 08:06:33 AM,Vehicle Detected
2026-05-30 08:07:01 AM,Vehicle Detected
2026-05-30 08:07:20 AM,Vehicle Detected
2026-05-30 08:08:23 AM,Vehicle Detected
2026-05-30 08:08:53 AM,Vehicle Detected
2026-05-30 08:10:11 AM,Vehicle Detected
2026-05-30 08:10:55 AM,Vehicle Detected
2026-05-30 08:11:54 AM,Vehicle Detected
2026-05-30 08:12:38 AM,Vehicle Detected
